Year,Mineral,Average Price per Tonne in 1000s of UGX,Quantity in Tonnes,Value in 1000s of UGX
2010,Coltan (30% Purity),28413,0.009,255.717
2010,Tin (75% Purity),34034,32,1089088
2010,Beryl (1% Beryllium),,-,0
2010,Manganese (Above 46% Mn),3037,10,30370
2007,Limestone,,447462.76,
2007,Lava Ash,,-,
2007,Pozzolana,,280522.32,
2007,Alluminous Clay,,-,
2007,Limonite,,-,
2007,Iron Ore,,365.99,
2007,Kaolin,,8152.16,
2007,Gypsum,,168.24,
2007,Gold,,0.02543,
2007,Wolfram Ore,,107.89,
2007,Cassiterite,,23.8,
2007,Cobalt,,636.26,
2007,Columbite_Tantalite,,0.1,
2007,Vermiculite,,3269,
2007,Galena,,38,
2007,Aggregates,,8994.18,
2007,Beryl (1% Beryllium),,2,
2006,Limestone,,425610.67,
2006,Lava Ash,,-,
2006,Pozzolana,,213639.9,
2006,Alluminous Clay,,-,
2006,Limonite,,-,
2006,Iron Ore,,-,
2006,Kaolin,,-,
2006,Gypsum,,121.2,
2006,Gold,,0.021919,
2006,Wolfram Ore,,94.802,
2006,Cassiterite,,-,
2006,Cobalt,,689.21,
2006,Columbite_Tantalite,,0.103,
2006,Vermiculite,,3512,
2006,Galena,,46,
2006,Aggregates,,6080,
2006,Beryl (1% Beryllium),,-,
2005,Limestone,,540755.59,
2005,Lava Ash,,5052.89,
2005,Pozzolana,,138932.65,
2005,Alluminous Clay,,-,
2005,Limonite,,-,
2005,Iron Ore,,208.53,
2005,Kaolin,,55,
2005,Gypsum,,285.31,
2005,Gold,,0.046,
2005,Wolfram Ore,,45.11,
2005,Cassiterite,,-,
2005,Cobalt,,637.84,
2005,Columbite_Tantalite,,0.273,
2005,Vermiculite,,2574,
2005,Galena,,,
2005,Aggregates,,4519,
2005,Beryl (1% Beryllium),,-,
2004,Limestone,,428775.87,
2004,Lava Ash,,134643.97,
2004,Pozzolana,,65586.98,
2004,Alluminous Clay,,-,
2004,Limonite,,-,
2004,Iron Ore,,-,
2004,Kaolin,,537,
2004,Gypsum,,181.22,
2004,Gold,,0.178,
2004,Wolfram Ore,,153.919,
2004,Cassiterite,,2.7,
2004,Cobalt,,459.01,
2004,Columbite_Tantalite,,4.195,
2004,Vermiculite,,2688,
2004,Galena,,,
2004,Aggregates,,,
2004,Beryl (1% Beryllium),,-,
2003,Limestone,,226408.46,
2003,Lava Ash,,,
2003,Pozzolana,,65586.98,
2003,Alluminous Clay,,-,
2003,Limonite,,-,
2003,Iron Ore,,-,
2003,Kaolin,,-,
2003,Gypsum,,42.79,
2003,Gold,,0.04,
2003,Wolfram Ore,,2.16,
2003,Cassiterite,,1,
2003,Cobalt,,,
2003,Columbite_Tantalite,,16.24,
2003,Vermiculite,,1724,
2003,Galena,,,
2003,Aggregates,,,
2003,Beryl (1% Beryllium),,-,
2002,Limestone,,140022.51,
2002,Lava Ash,,,
2002,Pozzolana,,12388.44,
2002,Alluminous Clay,,-,
2002,Limonite,,-,
2002,Iron Ore,,-,
2002,Kaolin,,178,
2002,Gypsum,,5.12,
2002,Gold,,0.002565,
2002,Wolfram Ore,,24.817,
2002,Cassiterite,,,
2002,Cobalt,,,
2002,Columbite_Tantalite,,6.463,
2002,Vermiculite,,664,
2002,Galena,,,
2002,Aggregates,,,
2002,Beryl (1% Beryllium),,-,
2001,Limestone,,229792,
2001,Lava Ash,,-,
2001,Pozzolana,,29619.24,
2001,Alluminous Clay,,-,
2001,Limonite,,-,
2001,Iron Ore,,1236.31,
2001,Kaolin,,90,
2001,Gypsum,,-,
2001,Gold,,0.000142,
2001,Wolfram Ore,,26.686,
2001,Cassiterite,,-,
2001,Cobalt,,511.992,
2001,Columbite_Tantalite,,11.09189,
2001,Vermiculite,,-,
2001,Galena,,,
2001,Aggregates,,,
2001,Beryl (1% Beryllium),,-,
2000,Limestone,,253.032,
2000,Lava Ash,,2231,
2000,Pozzolana,,35602.5,
2000,Alluminous Clay,,2400.88,
2000,Limonite,,2231,
2000,Iron Ore,,2400.88,
2000,Kaolin,,2.712,
2000,Gypsum,,0.12,
2000,Gold,,14,
2000,Wolfram Ore,,-,
2000,Cassiterite,,-,
2000,Cobalt,,410.754,
2000,Columbite_Tantalite,,2712,
2000,Vermiculite,,-,
2000,Galena,,,
2000,Aggregates,,,
2000,Beryl (1% Beryllium),,,
1999,Limestone,,121521.4,
1999,Lava Ash,,7275.52,
1999,Pozzolana,,12451.3,
1999,Alluminous Clay,,486.14,
1999,Limonite,,316918,
